id,date,stadium,season,tournament,round,home_team,away_team,home_goals,away_goals
864095,2022-07-02 02:05:00+00:00,Estadio de Mazatlan,2022,Apertura,1,Mazatlan,Puebla,2,4
864096,2022-07-02 22:00:00+00:00,Estadio AKRON,2022,Apertura,1,Guadalajara Chivas,FC Juarez,0,0
864094,2022-07-02 22:00:00+00:00,Estadio Victoria de Aguascalientes,2022,Apertura,1,Necaxa,Toluca,1,3
864097,2022-07-03 00:05:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,1,Tigres UANL,Cruz Azul,2,3
864098,2022-07-03 02:05:00+00:00,Estadio Azteca,2022,Apertura,1,Club America,Atlas,0,0
864099,2022-07-03 17:00:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,1,U.N.A.M. - Pumas,Club Tijuana,1,1
864100,2022-07-03 22:00:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Apertura,1,Atletico San Luis,Leon,1,2
864101,2022-07-04 00:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,1,Santos Laguna,Monterrey,4,3
864102,2022-07-05 02:00:00+00:00,Estadio Hidalgo,2022,Apertura,1,Pachuca,Club Queretaro,2,0
864103,2022-07-09 00:00:00+00:00,Estadio de Mazatlan,2022,Apertura,2,Mazatlan,Tigres UANL,0,1
864105,2022-07-09 02:05:00+00:00,Estadio Caliente,2022,Apertura,2,Club Tijuana,FC Juarez,0,2
864104,2022-07-09 02:05:00+00:00,Estadio Cuauhtemoc,2022,Apertura,2,Puebla,Santos Laguna,1,0
864111,2022-07-10 00:00:00+00:00,Estadio Leon,2022,Apertura,2,Leon,U.N.A.M. - Pumas,3,3
864106,2022-07-10 00:05:00+00:00,Estadio AKRON,2022,Apertura,2,Guadalajara Chivas,Atletico San Luis,0,1
864108,2022-07-10 02:05:00+00:00,Estadio BBVA,2022,Apertura,2,Monterrey,Club America,3,2
864107,2022-07-10 02:05:00+00:00,Estadio Azteca,2022,Apertura,2,Cruz Azul,Pachuca,1,2
864109,2022-07-10 17:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,2,Toluca,Atlas,3,2
864110,2022-07-10 22:00:00+00:00,Estadio La Corregidora,2022,Apertura,2,Club Queretaro,Necaxa,1,2
864112,2022-07-14 02:00:00+00:00,Estadio Azteca,2022,Apertura,3,Club America,Toluca,1,0
864113,2022-07-16 00:00:00+00:00,Estadio Cuauhtemoc,2022,Apertura,3,Puebla,Leon,1,1
864114,2022-07-16 02:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,3,FC Juarez,Club Queretaro,1,1
864115,2022-07-16 22:00:00+00:00,Estadio Jalisco,2022,Apertura,3,Atlas,Cruz Azul,3,2
864116,2022-07-17 00:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,3,Santos Laguna,Guadalajara Chivas,1,1
864117,2022-07-17 17:00:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,3,U.N.A.M. - Pumas,Necaxa,1,0
864118,2022-07-17 22:00:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Apertura,3,Atletico San Luis,Monterrey,0,1
864119,2022-07-18 00:00:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,3,Tigres UANL,Club Tijuana,1,0
864120,2022-07-19 00:00:00+00:00,Estadio Hidalgo,2022,Apertura,3,Pachuca,Mazatlan,1,1
864121,2022-07-21 02:05:00+00:00,Estadio AKRON,2022,Apertura,4,Guadalajara Chivas,Leon,0,0
864122,2022-07-22 02:00:00+00:00,Estadio La Corregidora,2022,Apertura,4,Club Queretaro,Monterrey,0,3
864123,2022-07-23 00:00:00+00:00,Estadio de Mazatlan,2022,Apertura,4,Mazatlan,Atletico San Luis,1,1
864124,2022-07-23 02:05:00+00:00,Estadio Victoria de Aguascalientes,2022,Apertura,4,Necaxa,FC Juarez,1,0
864125,2022-07-23 22:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,4,Toluca,Santos Laguna,2,1
864126,2022-07-24 00:05:00+00:00,Estadio Azteca,2022,Apertura,4,Cruz Azul,Puebla,2,2
864128,2022-07-24 01:00:00+00:00,Estadio Caliente,2022,Apertura,4,Club Tijuana,Club America,2,0
864127,2022-07-24 02:05:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,4,Tigres UANL,Atlas,2,0
864129,2022-07-25 00:00:00+00:00,Estadio Hidalgo,2022,Apertura,4,Pachuca,U.N.A.M. - Pumas,0,0
864131,2022-07-27 00:00:00+00:00,Estadio BBVA,2022,Apertura,5,Monterrey,Puebla,1,0
864130,2022-07-27 00:00:00+00:00,Estadio Jalisco,2022,Apertura,5,Atlas,Club Tijuana,1,2
864132,2022-07-27 00:00:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,5,FC Juarez,Tigres UANL,0,1
864134,2022-07-27 02:05:00+00:00,Estadio Leon,2022,Apertura,5,Leon,Toluca,0,1
864133,2022-07-27 02:05:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Apertura,5,Atletico San Luis,Cruz Azul,0,0
864136,2022-07-28 00:00:00+00:00,Estadio Victoria de Aguascalientes,2022,Apertura,5,Necaxa,Pachuca,2,0
864135,2022-07-28 00:00:00+00:00,Estadio La Corregidora,2022,Apertura,5,Club Queretaro,Guadalajara Chivas,2,2
864137,2022-07-28 02:05:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,5,U.N.A.M. - Pumas,Mazatlan,1,1
864139,2022-07-30 02:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,6,FC Juarez,Toluca,1,1
864140,2022-07-30 22:00:00+00:00,Estadio Azteca,2022,Apertura,6,Cruz Azul,Necaxa,1,0
864141,2022-07-31 00:05:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,6,Tigres UANL,Club Queretaro,2,1
864142,2022-07-31 02:05:00+00:00,Estadio AKRON,2022,Apertura,6,Guadalajara Chivas,Pachuca,0,0
864144,2022-07-31 02:05:00+00:00,Estadio Caliente,2022,Apertura,6,Club Tijuana,Mazatlan,2,0
864143,2022-07-31 02:05:00+00:00,Estadio Cuauhtemoc,2022,Apertura,6,Puebla,Atletico San Luis,0,0
864145,2022-07-31 17:00:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,6,U.N.A.M. - Pumas,Monterrey,1,1
864146,2022-08-01 00:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,6,Santos Laguna,Atlas,1,0
864147,2022-08-01 02:05:00+00:00,Estadio Leon,2022,Apertura,6,Leon,Club America,3,2
864229,2022-08-03 01:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,16,Toluca,Puebla,1,1
864230,2022-08-04 00:00:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,16,FC Juarez,Atletico San Luis,1,1
864148,2022-08-05 02:00:00+00:00,Estadio Jalisco,2022,Apertura,7,Atlas,Club Queretaro,3,1
864150,2022-08-06 02:05:00+00:00,Estadio de Mazatlan,2022,Apertura,7,Mazatlan,Guadalajara Chivas,2,1
864151,2022-08-07 00:05:00+00:00,Estadio BBVA,2022,Apertura,7,Monterrey,Leon,5,1
864153,2022-08-07 02:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,7,Santos Laguna,Cruz Azul,4,0
864154,2022-08-07 17:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,7,Toluca,Club Tijuana,3,1
864155,2022-08-07 21:00:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Apertura,7,Atletico San Luis,Necaxa,1,2
864156,2022-08-07 23:05:00+00:00,Estadio Hidalgo,2022,Apertura,7,Pachuca,Tigres UANL,2,0
864152,2022-08-08 01:05:00+00:00,Estadio Azteca,2022,Apertura,7,Club America,FC Juarez,2,1
864157,2022-08-12 02:00:00+00:00,Estadio La Corregidora,2022,Apertura,8,Club Queretaro,Atletico San Luis,1,1
864158,2022-08-13 02:00:00+00:00,Estadio Victoria de Aguascalientes,2022,Apertura,8,Necaxa,Monterrey,1,2
864159,2022-08-13 02:05:00+00:00,Estadio Caliente,2022,Apertura,8,Club Tijuana,Puebla,3,3
864161,2022-08-13 22:00:00+00:00,Estadio Leon,2022,Apertura,8,Leon,Mazatlan,0,3
864162,2022-08-14 00:05:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,8,U.N.A.M. - Pumas,Club America,0,3
864163,2022-08-14 02:05:00+00:00,Estadio AKRON,2022,Apertura,8,Guadalajara Chivas,Atlas,1,1
864164,2022-08-14 22:00:00+00:00,Estadio Azteca,2022,Apertura,8,Cruz Azul,Toluca,2,3
864165,2022-08-15 00:05:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,8,Tigres UANL,Santos Laguna,2,0
864166,2022-08-17 00:00:00+00:00,Estadio Jalisco,2022,Apertura,9,Atlas,FC Juarez,0,1
864167,2022-08-17 01:00:00+00:00,Estadio de Mazatlan,2022,Apertura,9,Mazatlan,Club Queretaro,1,1
864168,2022-08-17 02:05:00+00:00,Estadio Cuauhtemoc,2022,Apertura,9,Puebla,Necaxa,2,2
864169,2022-08-18 00:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,9,Toluca,Monterrey,1,1
864171,2022-08-18 02:05:00+00:00,Estadio Hidalgo,2022,Apertura,9,Pachuca,Club America,0,3
864170,2022-08-18 02:05:00+00:00,Estadio Azteca,2022,Apertura,9,Cruz Azul,Club Tijuana,1,2
864172,2022-08-19 00:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,9,Santos Laguna,Leon,2,1
864173,2022-08-19 02:05:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Apertura,9,Atletico San Luis,U.N.A.M. - Pumas,3,2
864175,2022-08-20 00:00:00+00:00,Estadio Victoria de Aguascalientes,2022,Apertura,10,Necaxa,Guadalajara Chivas,0,4
864177,2022-08-20 22:00:00+00:00,Estadio La Corregidora,2022,Apertura,10,Club Queretaro,Club Tijuana,2,0
864179,2022-08-21 00:05:00+00:00,Estadio BBVA,2022,Apertura,10,Monterrey,Tigres UANL,0,0
864178,2022-08-21 00:05:00+00:00,Estadio Jalisco,2022,Apertura,10,Atlas,Puebla,1,1
864180,2022-08-21 02:05:00+00:00,Estadio Azteca,2022,Apertura,10,Club America,Cruz Azul,7,0
864176,2022-08-21 02:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,10,FC Juarez,Mazatlan,1,1
864181,2022-08-21 17:00:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,10,U.N.A.M. - Pumas,Santos Laguna,1,5
864182,2022-08-21 22:00:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Apertura,10,Atletico San Luis,Toluca,1,0
864183,2022-08-22 00:05:00+00:00,Estadio Hidalgo,2022,Apertura,10,Pachuca,Leon,1,0
864231,2022-08-24 00:05:00+00:00,Estadio AKRON,2022,Apertura,16,Guadalajara Chivas,Monterrey,1,0
864232,2022-08-24 02:05:00+00:00,Estadio La Corregidora,2022,Apertura,16,Club Queretaro,Club America,0,1
864234,2022-08-25 02:05:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,16,U.N.A.M. - Pumas,Tigres UANL,1,1
864235,2022-08-26 00:05:00+00:00,Estadio Hidalgo,2022,Apertura,16,Pachuca,Atlas,3,1
864236,2022-08-26 02:05:00+00:00,Estadio Caliente,2022,Apertura,16,Club Tijuana,Santos Laguna,0,2
864184,2022-08-27 00:00:00+00:00,Estadio Cuauhtemoc,2022,Apertura,11,Puebla,FC Juarez,2,2
864185,2022-08-27 02:05:00+00:00,Estadio de Mazatlan,2022,Apertura,11,Mazatlan,Club America,1,3
864186,2022-08-27 22:00:00+00:00,Estadio Azteca,2022,Apertura,11,Cruz Azul,Club Queretaro,2,1
864187,2022-08-28 00:05:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,11,Tigres UANL,Necaxa,0,0
864188,2022-08-28 02:05:00+00:00,Estadio AKRON,2022,Apertura,11,Guadalajara Chivas,U.N.A.M. - Pumas,3,1
864189,2022-08-28 17:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,11,Toluca,Pachuca,1,4
864191,2022-08-29 00:00:00+00:00,Estadio Leon,2022,Apertura,11,Leon,Atlas,4,2
864190,2022-08-29 00:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,11,Santos Laguna,Atletico San Luis,4,1
864192,2022-08-29 02:05:00+00:00,Estadio Caliente,2022,Apertura,11,Club Tijuana,Monterrey,0,3
864193,2022-09-02 00:00:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Apertura,12,Atletico San Luis,Club Tijuana,0,0
864194,2022-09-02 02:05:00+00:00,Estadio La Corregidora,2022,Apertura,12,Club Queretaro,Puebla,1,1
864195,2022-09-03 00:00:00+00:00,Estadio Victoria de Aguascalientes,2022,Apertura,12,Necaxa,Leon,3,2
864196,2022-09-03 02:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,12,FC Juarez,Cruz Azul,2,2
864197,2022-09-03 22:05:00+00:00,Estadio Hidalgo,2022,Apertura,12,Pachuca,Santos Laguna,2,0
864198,2022-09-04 00:05:00+00:00,Estadio BBVA,2022,Apertura,12,Monterrey,Mazatlan,0,0
864199,2022-09-04 00:05:00+00:00,Estadio Jalisco,2022,Apertura,12,Atlas,U.N.A.M. - Pumas,0,0
864200,2022-09-04 02:05:00+00:00,Estadio Azteca,2022,Apertura,12,Club America,Tigres UANL,2,1
864201,2022-09-04 22:00:00+00:00,Estadio Nemesio Diez,2022,Apertura,12,Toluca,Guadalajara Chivas,0,0
864202,2022-09-07 00:00:00+00:00,Estadio Leon,2022,Apertura,13,Leon,FC Juarez,1,0
864203,2022-09-07 00:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,13,Santos Laguna,Necaxa,3,1
864204,2022-09-07 02:05:00+00:00,Estadio BBVA,2022,Apertura,13,Monterrey,Cruz Azul,3,2
864205,2022-09-07 02:05:00+00:00,Estadio Azteca,2022,Apertura,13,Club America,Atletico San Luis,3,0
864207,2022-09-08 00:00:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,13,Tigres UANL,Toluca,3,1
864206,2022-09-08 00:00:00+00:00,Estadio Cuauhtemoc,2022,Apertura,13,Puebla,Pachuca,2,2
864210,2022-09-08 02:00:00+00:00,Estadio de Mazatlan,2022,Apertura,13,Mazatlan,Atlas,1,0
864209,2022-09-08 02:05:00+00:00,Estadio Caliente,2022,Apertura,13,Club Tijuana,Guadalajara Chivas,1,2
864208,2022-09-08 02:05:00+00:00,Estadio Olimpico de Universitario,2022,Apertura,13,U.N.A.M. - Pumas,Club Queretaro,4,1
864212,2022-09-10 02:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,14,FC Juarez,Monterrey,0,1
864213,2022-09-10 22:00:00+00:00,Estadio La Corregidora,2022,Apertura,14,Club Queretaro,Santos Laguna,3,3
864211,2022-09-11 00:00:00+00:00,Estadio Victoria de Aguascalientes,2022,Apertura,14,Necaxa,Club America,1,2
