id,referee,date,stadium,season,tournament,round,home_team,away_team,home_goals,away_goals,result
864095,D. Quintero,2022-07-02 02:05:00,Estadio de Mazatlán,2022,Apertura,1,Mazatlán,Puebla,2,4,away
864096,I. Lopez,2022-07-02 22:00:00,Estadio AKRON,2022,Apertura,1,Guadalajara Chivas,FC Juarez,0,0,draw
864094,L. Santander,2022-07-02 22:00:00,Estadio Victoria de Aguascalientes,2022,Apertura,1,Necaxa,Toluca,1,3,away
864097,Ó. Mejía,2022-07-03 00:05:00,Estadio Universitario de Nuevo León,2022,Apertura,1,Tigres UANL,Cruz Azul,2,3,away
864098,F. Guerrero,2022-07-03 02:05:00,Estadio Azteca,2022,Apertura,1,Club America,Atlas,0,0,draw
864099,A. Escobedo,2022-07-03 17:00:00,Estadio Olímpico de Universitario,2022,Apertura,1,U.N.A.M. - Pumas,Club Tijuana,1,1,draw
864100,F. Hernández,2022-07-03 22:00:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,1,Atletico San Luis,Leon,1,2,away
864101,J. Pérez,2022-07-04 00:05:00,Estadio Nuevo Corona,2022,Apertura,1,Santos Laguna,Monterrey,4,3,home
864102,C. Ramos,2022-07-05 02:00:00,Estadio Hidalgo,2022,Apertura,1,Pachuca,Club Queretaro,2,0,home
864103,A. Escobedo,2022-07-09 00:00:00,Estadio de Mazatlán,2022,Apertura,2,Mazatlán,Tigres UANL,0,1,away
864105,Ó. Macías,2022-07-09 02:05:00,Estadio Caliente,2022,Apertura,2,Club Tijuana,FC Juarez,0,2,away
864104,C. Ramos,2022-07-09 02:05:00,Estadio Cuauhtémoc,2022,Apertura,2,Puebla,Santos Laguna,1,0,home
864111,J. Lopez,2022-07-10 00:00:00,Estadio León,2022,Apertura,2,Leon,U.N.A.M. - Pumas,3,3,draw
864106,Ó. Mejía,2022-07-10 00:05:00,Estadio AKRON,2022,Apertura,2,Guadalajara Chivas,Atletico San Luis,0,1,away
864108,M. Ortíz,2022-07-10 02:05:00,Estadio BBVA,2022,Apertura,2,Monterrey,Club America,3,2,home
864107,V. Cáceres,2022-07-10 02:05:00,Estadio Azteca,2022,Apertura,2,Cruz Azul,Pachuca,1,2,away
864109,F. Hernández,2022-07-10 17:00:00,Estadio Nemesio Díez,2022,Apertura,2,Toluca,Atlas,3,2,home
864110,F. Guerrero,2022-07-10 22:00:00,Estadio La Corregidora,2022,Apertura,2,Club Queretaro,Necaxa,1,2,away
864112,A. Escobedo,2022-07-14 02:00:00,Estadio Azteca,2022,Apertura,3,Club America,Toluca,1,0,home
864113,E. Miranda,2022-07-16 00:00:00,Estadio Cuauhtémoc,2022,Apertura,3,Puebla,Leon,1,1,draw
864114,E. Galván,2022-07-16 02:05:00,Estadio Olímpico Benito Juárez,2022,Apertura,3,FC Juarez,Club Queretaro,1,1,draw
864115,Ó. Macías,2022-07-16 22:00:00,Estadio Jalisco,2022,Apertura,3,Atlas,Cruz Azul,3,2,home
864116,M. Ortíz,2022-07-17 00:05:00,Estadio Nuevo Corona,2022,Apertura,3,Santos Laguna,Guadalajara Chivas,1,1,draw
864117,D. Quintero,2022-07-17 17:00:00,Estadio Olímpico de Universitario,2022,Apertura,3,U.N.A.M. - Pumas,Necaxa,1,0,home
864118,F. Guerrero,2022-07-17 22:00:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,3,Atletico San Luis,Monterrey,0,1,away
864119,V. Cáceres,2022-07-18 00:00:00,Estadio Universitario de Nuevo León,2022,Apertura,3,Tigres UANL,Club Tijuana,1,0,home
864120,J. Camacho,2022-07-19 00:00:00,Estadio Hidalgo,2022,Apertura,3,Pachuca,Mazatlán,1,1,draw
864121,J. Pérez,2022-07-21 02:05:00,Estadio AKRON,2022,Apertura,4,Guadalajara Chivas,Leon,0,0,draw
864122,L. Santander,2022-07-22 02:00:00,Estadio La Corregidora,2022,Apertura,4,Club Queretaro,Monterrey,0,3,away
864123,I. Lopez,2022-07-23 00:00:00,Estadio de Mazatlán,2022,Apertura,4,Mazatlán,Atletico San Luis,1,1,draw
864124,C. Ramos,2022-07-23 02:05:00,Estadio Victoria de Aguascalientes,2022,Apertura,4,Necaxa,FC Juarez,1,0,home
864125,D. Montaño,2022-07-23 22:00:00,Estadio Nemesio Díez,2022,Apertura,4,Toluca,Santos Laguna,2,1,home
864126,F. Guerrero,2022-07-24 00:05:00,Estadio Azteca,2022,Apertura,4,Cruz Azul,Puebla,2,2,draw
864128,F. Hernández,2022-07-24 01:00:00,Estadio Caliente,2022,Apertura,4,Club Tijuana,Club America,2,0,home
864127,M. Ortíz,2022-07-24 02:05:00,Estadio Universitario de Nuevo León,2022,Apertura,4,Tigres UANL,Atlas,2,0,home
864129,B. González,2022-07-25 00:00:00,Estadio Hidalgo,2022,Apertura,4,Pachuca,U.N.A.M. - Pumas,0,0,draw
864131,Ó. Macías,2022-07-27 00:00:00,Estadio BBVA,2022,Apertura,5,Monterrey,Puebla,1,0,home
864130,D. Montaño,2022-07-27 00:00:00,Estadio Jalisco,2022,Apertura,5,Atlas,Club Tijuana,1,2,away
