id,date,stadium,season,tournament,round,home_team,away_team
1206042,2024-08-24 23:00:00+00:00,Estadio Victoria,2024,Apertura,5,Necaxa,FC Juarez
120364,2018-08-19 00:00:00+00:00,Estadio Miguel Hidalgo,2018,Apertura,5,Pachuca,Lobos Buap
143306,2018-01-28 03:06:00+00:00,Estadio AKRON (Zapopan),2017,Clausura,4,Guadalajara Chivas,Monterrey
143791,2016-08-07 02:00:00+00:00,Estadio Luis Pirata Fuente,2016,Apertura,4,Veracruz,Club America
570964,2020-07-26 00:00:00+00:00,Estadio AKRON,2020,Apertura,1,Guadalajara Chivas,Leon
120259,2019-03-10 03:00:00+00:00,Estadio La Corregidora,2018,Clausura,10,Club Queretaro,Guadalajara Chivas
1150343,2024-04-15 00:00:00+00:00,Estadio Jalisco,2023,Clausura,15,Atlas,Atletico San Luis
120430,2018-10-07 02:36:00+00:00,Estadio Caliente,2018,Apertura,12,Club Tijuana,Club Queretaro
1031391,2023-10-29 01:05:00+00:00,Estadio Jalisco,2023,Apertura,14,Guadalajara Chivas,Tigres UANL
1318624,2024-12-08 02:00:00+00:00,Estadio BBVA,2024,Apertura,Semi-finals,Monterrey,Atletico San Luis
965507,2022-10-13 00:06:00+00:00,Estadio Cuauhtemoc,2022,Apertura,Quarter-finals,Puebla,Club America
293465,2020-02-15 23:00:00+00:00,Estadio Hidalgo,2019,Clausura,6,Pachuca,Puebla
143549,2017-10-22 02:00:00+00:00,Estadio Azteca,2017,Apertura,14,Club America,Necaxa
1206152,2024-11-10 03:05:00+00:00,Estadio Ciudad de los Deportes,2024,Apertura,17,Cruz Azul,Tigres UANL
974376,2023-02-20 03:05:00+00:00,Estadio Hidalgo,2022,Clausura,8,Pachuca,Toluca
143414,2018-04-22 02:00:00+00:00,Estadio Victoria de Aguascalientes (Aguascalientes),2017,Clausura,16,Necaxa,Tigres UANL
816404,2022-03-06 01:06:00+00:00,Estadio BBVA,2021,Clausura,9,Monterrey,Club America
1206052,2024-08-31 23:05:00+00:00,Estadio AKRON,2024,Apertura,6,Guadalajara Chivas,FC Juarez
864190,2022-08-29 00:05:00+00:00,Estadio Nuevo Corona,2022,Apertura,11,Santos Laguna,Atletico San Luis
974450,2023-04-29 03:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Clausura,17,FC Juarez,Club America
721869,2021-11-06 23:00:00+00:00,Estadio Leon,2021,Apertura,17,Leon,Necaxa
721862,2021-10-31 02:10:00+00:00,Estadio Universitario de Nuevo Leon,2021,Apertura,16,Tigres UANL,Guadalajara Chivas
1150306,2024-03-10 01:00:00+00:00,Estadio Corona,2023,Clausura,11,Santos Laguna,Cruz Azul
701899,2021-05-10 02:15:00+00:00,Estadio Hidalgo,2020,Clausura,Reclasificacion,Pachuca,Guadalajara Chivas
974397,2023-03-11 23:00:00+00:00,Estadio Jalisco,2022,Clausura,11,Atlas,Leon
143764,2016-07-17 00:06:00+00:00,Estadio Miguel Hidalgo,2016,Apertura,1,Pachuca,Leon
143728,2017-04-16 00:00:00+00:00,Estadio Jalisco,2016,Clausura,14,Atlas,Santos Laguna
1315387,2024-11-22 03:00:00+00:00,Estadio Caliente,2024,Apertura,Reclasificacion,Club Tijuana,Club America
721825,2021-10-03 17:00:00+00:00,Estadio Nemesio Diez,2021,Apertura,12,Toluca,Club Queretaro
973620,2023-01-14 01:05:00+00:00,Estadio Alfonso Lastras Ramirez,2022,Clausura,2,Atletico San Luis,Guadalajara Chivas
143713,2017-04-02 17:00:00+00:00,Estadio Nemesio Diez,2016,Clausura,12,Toluca,Necaxa
120236,2019-02-23 03:00:00+00:00,Estadio Jalisco,2018,Clausura,8,Atlas,Tigres UANL
143580,2017-05-28 23:06:00+00:00,Estadio Akron,2016,Clausura,Finals,Guadalajara Chivas,Tigres UANL
569676,2020-08-04 02:50:00+00:00,Estadio Leon,2020,Apertura,2,Leon,Monterrey
652812,2021-01-16 01:30:00+00:00,Estadio Victoria de Aguascalientes,2020,Clausura,2,Necaxa,Atletico San Luis
1031408,2023-11-05 03:05:00+00:00,Estadio Hidalgo,2023,Apertura,16,Pachuca,Monterrey
120445,2018-10-28 01:00:00+00:00,Estadio Universitario (UANL),2018,Apertura,14,Tigres UANL,Lobos Buap
120463,2018-11-11 01:00:00+00:00,Estadio Leon,2018,Apertura,16,Leon,Guadalajara Chivas
1206120,2024-10-26 01:00:00+00:00,Estadio Corona,2024,Apertura,14,Santos Laguna,Mazatlan
648098,2020-11-29 18:00:00+00:00,Estadio Olimpico de Universitario,2020,Apertura,Quarter-finals,U.N.A.M. - Pumas,Pachuca
143905,2016-11-19 23:00:00+00:00,Estadio Victor Manuel Reyna,2016,Apertura,17,Jaguares de Chiapas,Atlas
120195,2019-01-20 18:00:00+00:00,Estadio Olimpico Universitario,2018,Clausura,3,U.N.A.M. - Pumas,Atlas
143569,2017-11-06 01:15:00+00:00,Estadio Luis Pirata Fuente,2017,Apertura,16,Veracruz,Toluca
143361,2018-03-04 18:00:00+00:00,Estadio Nemesio Diez (Toluca de Lerdo),2017,Clausura,10,Toluca,Pachuca
1199963,2024-05-16 02:05:00+00:00,Estadio AKRON,2023,Clausura,Semi-finals,Guadalajara Chivas,Club America
143247,2018-05-11 00:30:00+00:00,Estadio Nuevo Corona (Torreon),2017,Clausura,Semi-finals,Santos Laguna,Club America
